gn|1|1|No princípio, Deus criou os céus e a terra.
gn|1|2|A terra era sem forma e vazia, e havia trevas sobre a face do abismo, mas o Espírito de Deus pairava sobre a face das águas.
gn|1|3|Disse Deus: Haja luz. E houve luz.
gn|1|4|Deus viu que a luz era boa; e fez separação entre a luz e as trevas.
gn|1|5|E Deus chamou à luz dia, e às trevas, noite. E foram-se a tarde e a manhã, o primeiro dia.
gn|1|6|E disse Deus: Haja um firmamento no meio das águas, que faça separação entre águas e águas.
gn|1|7|E Deus fez o firmamento e separou as águas que estavam debaixo do firmamento das que estavam por cima dele. E assim foi.
gn|1|8|E ao firmamento Deus chamou céu. E foram-se a tarde e a manhã, o segundo dia.
gn|1|9|E disse Deus: Ajuntem-se num só lugar as águas que estão debaixo do céu, e apareça o continente. E assim foi.
gn|1|10|E ao continente Deus chamou terra, e ao ajuntamento das águas, mares. E Deus viu que isso era bom.
gn|1|11|E disse Deus: Produza a terra os vegetais: plantas que deem semente e árvores frutíferas que, segundo suas espécies, deem fruto que contenha a sua semente sobre a terra. E assim foi.
gn|1|12|E a terra produziu os vegetais: plantas que davam semente segundo suas espécies e árvores que davam fruto que continha a sua semente, segundo as suas espécies. E Deus viu que isso era bom.
gn|1|13|E foram-se a tarde e a manhã, o terceiro dia.
gn|1|14|E disse Deus: Haja luminares no firmamento celeste, para fazerem separação entre o dia e a noite; sirvam eles de sinais tanto das estações como dos dias e dos anos.
gn|1|15|Sirvam eles de luminares no firmamento celeste, para iluminar a terra. E assim foi.
gn|1|16|E Deus fez os dois grandes luminares: o luminar maior para governar o dia e o menor para governar a noite; fez também as estrelas.
gn|1|17|E Deus os colocou no firmamento celeste para iluminar a terra,
gn|1|18|para governar o dia e a noite, e para fazer separação entre a luz e as trevas. E Deus viu que isso era bom.
gn|1|19|E foram-se a tarde e a manhã, o quarto dia.
gn|1|20|E disse Deus: Produzam as águas cardumes de seres vivos; e voem as aves sobre a terra, abaixo do firmamento do céu.
gn|1|21|E Deus criou os grandes animais aquáticos e todos os seres vivos que se movem, os quais as águas produziram segundo suas espécies; e toda ave com asas, segundo sua espécie. E Deus viu que isso era bom.
gn|1|22|Então Deus os abençoou, dizendo: Frutificai e multiplicai-vos; enchei as águas dos mares, multipliquem-se as aves sobre a terra.
gn|1|23|E foram-se a tarde e a manhã, o quinto dia.
gn|1|24|E disse Deus: Produza a terra seres vivos segundo suas espécies: gado, animais que rastejam e animais selvagens, segundo suas espécies. E assim foi.
gn|1|25|E Deus fez os animais selvagens, segundo suas espécies, e o gado, segundo suas espécies, e todos os animais da terra que rastejam, segundo suas espécies. E Deus viu que isso era bom.
gn|1|26|E disse Deus: Façamos o homem à nossa imagem, conforme nossa semelhança; domine ele sobre os peixes do mar, sobre as aves do céu, sobre o gado, sobre os animais selvagens e sobre todo animal rastejante que se arrasta sobre a terra.
gn|1|27|E Deus criou o homem à sua imagem; à imagem de Deus o criou; homem e mulher os criou.
gn|1|28|Então Deus os abençoou e lhes disse: Frutificai e multiplicai-vos; enchei a terra e sujeitai-a; dominai sobre os peixes do mar, sobre as aves do céu e sobre todos os animais que rastejam sobre a terra.
gn|1|29|Disse-lhes mais: Eu vos dou todos os vegetais que dão semente, os quais se acham sobre a face de toda a terra, bem como todas as árvores em que há fruto que dê semente; eles vos servirão de alimento.
gn|1|30|E a todos os animais selvagens, a todas as aves do céu e a todo ser vivo que rasteja sobre a terra dou toda planta verde como alimento. E assim foi.
gn|1|31|E Deus viu tudo quanto fizera, e era muito bom. E foram-se a tarde e a manhã, o sexto dia.
gn|2|1|Assim foram concluídos os céus e a terra, com todos os seus elementos.
gn|2|2|No sétimo dia, Deus já havia completado a obra que fizera; nesse dia ele descansou de toda a sua obra.
gn|2|3|E Deus abençoou e santificou o sétimo dia, porque nele descansou de toda a obra que havia criado e feito.
gn|2|4|São essas as origens dos céus e da terra, na ocasião em que foram criados.
gn|2|5|Quando o SENHOR Deus fez a terra e os céus, ainda não havia nenhuma planta do campo na terra e nenhuma erva do campo havia brotado, pois o SENHOR Deus ainda não havia feito chover sobre a terra, nem havia homem para lavrar a terra.
gn|2|6|Todavia, mananciais subiam da terra e regavam toda a superfície do solo.
gn|2|7|E o SENHOR Deus formou o homem do pó da terra e soprou-lhe nas narinas o fôlego da vida; e o homem tornou-se alma vivente.
gn|2|8|Então o SENHOR Deus plantou um jardim, para o lado do oriente, no Éden; e colocou ali o homem que havia formado.
gn|2|9|E o SENHOR Deus fez brotar do solo todo tipo de árvore agradável à vista e boa para alimento, bem como a árvore da vida no meio do jardim, e a árvore do conhecimento do bem e do mal.
gn|2|10|Do Éden saía um rio que regava o jardim; ele se dividia dali, formando quatro braços.
gn|2|11|O nome do primeiro é Pisom: este é o que contorna toda a terra de Havilá, onde há ouro;
gn|2|12|o ouro dessa terra é bom; ali existem o bdélio e a pedra de berilo.
gn|2|13|O nome do segundo rio é Giom: este é o que contorna toda a terra de Cuxe.
gn|2|14|O nome do terceiro rio é Tigre: este é o que corre pelo oriente da Assíria. E o quarto rio é o Eufrates.
gn|2|15|E o SENHOR Deus tomou o homem e o colocou no jardim do Éden, para que o homem o cultivasse e guardasse.
gn|2|16|Então o SENHOR Deus ordenou ao homem: Podes comer livremente de qualquer árvore do jardim,
gn|2|17|mas não comerás da árvore do conhecimento do bem e do mal; porque no dia em que dela comeres, com certeza morrerás.
gn|2|18|Disse mais o SENHOR Deus: Não é bom que o homem esteja só; eu lhe farei uma ajudadora que lhe seja adequada.
gn|2|19|E o SENHOR Deus formou da terra todos os animais do campo e todas as aves do céu, e os trouxe ao homem, para ver como lhes chamaria; e o nome que o homem desse a cada ser vivo, esse seria o nome deles.
gn|2|20|Assim o homem deu nomes a todo o gado, às aves do céu e a todos os animais do campo; mas não se achava uma ajudadora adequada para o homem.
